19300511,129,51,BSN,6,001001022,21,1,SLN,7,11003011x,24,0
19300512,133,60,SLA,3,0002000001,24,1,BOS,2,0200000000,24,0
19300512,123,51,DET,0,000000000,27,1,NYA,7,20000221x,21,2
19300512,131,51,CLE,7,000105001,22,0,PHA,13,05302201x,23,1
19300512,115,51,CHA,2,200000000,21,0,WS1,13,05004130x,24,1
19300512,146,54,NY1,14,067010000,21,0,CHN,12,000013512,26,0
19300512,104,51,PHI,6,100004010,21,0,CIN,7,30210001x,23,0
19300512,138,51,BRO,2,000101000,23,0,PIT,6,01000221x,23,0
19300513,118,54,DET,4,010020100,28,1,BOS,1,000000010,25,0
19300513,130,51,SLA,1,100000000,25,1,NYA,4,00013000x,22,1
19300513,127,51,CHA,7,000120400,22,0,PHA,14,12013610x,24,0
19300513,134,54,CLE,11,506000000,23,0,WS1,6,015000000,25,0
19300513,137,51,BSN,8,000060020,22,0,CHN,9,04310001x,27,0
19300513,126,54,PHI,14,210142031,22,1,PIT,8,120000104,24,0
19300513,111,51,NY1,4,000103000,22,1,SLN,6,00210201x,25,0
19300514,119,54,BRO,7,102003100,24,0,CIN,4,210001000,24,0
19300514,112,51,NY1,3,003000000,23,1,SLN,7,10060000x,26,0
19300515,105,51,CLE,2,000010010,24,0,WS1,4,10200010x,26,0
19300515,142,54,BSN,10,000040303,23,0,CHN,8,200003030,28,1
19300516,128,53,NYA,4,000200011,23,1,BOS,5,002000021,26,1
19300516,127,54,WS1,5,020200010,27,0,PHA,3,000000030,25,0
19300516,108,54,WS1,4,000001030,28,0,PHA,0,000000000,26,0
19300516,112,54,BRO,10,143000011,25,1,CIN,3,200001000,25,0
19300516,134,52,CHN,8,002005001,29,1,SLN,9,000202104,27,0
19300517,128,54,NYA,3,000100101,24,0,BOS,2,100010000,27,0
19300517,87,51,CLE,1,000000001,25,0,CHA,4,01001200x,23,0
19300517,113,51,CLE,2,002000000,26,1,CHA,6,00001302x,24,1
19300517,140,51,SLA,7,100000132,26,0,DET,12,21200034x,29,0
19300517,126,51,PHA,5,020300000,27,0,WS1,16,10604050x,29,0
19300517,145,60,BSN,4,0000010102,24,0,NY1,3,0000200001,24,0
19300517,110,54,BSN,4,100101010,25,0,NY1,3,000110010,25,0
